"","name","price"
"1","
                LYF Water 4 (White, 16 GB)(2 GB RAM)
            ","<U+20B9>4,999 **"
"2","
                OnePlus Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)
            ","<U+20B9>24,999 **"
"3","
                OPPO K10 (Blue Flame, 128 GB)(6 GB RAM)
            ","<U+20B9>14,990 **"
"4","
                ASUS Zenfone 4 Selfie (Gold, 32 GB)(3 GB RAM)
            ","<U+20B9>10,999 **"
"5","
                Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery
            ","<U+20B9>9,499 **"
"6","
                OPPO K10 (Black Carbon, 128 GB)(6 GB RAM)
            ","<U+20B9>14,990 **"
"7","
                Kechaoda K10(Gold)
            ","<U+20B9>1,099 **"
"8","
                MOTOROLA e40 (Carbon Gray, 64 GB)(4 GB RAM)
            ","<U+20B9>8,599 **"
"9","
                OnePlus Nord CE 2 5G (Gray Mirror, 8GB RAM, 128GB Storage)
            ","<U+20B9>24,999 **"
"10","
                MOTOROLA e40 (Pink Clay, 64 GB)(4 GB RAM)
            ","<U+20B9>8,599 **"
"11","
                OnePlus Nord 2T 5G (Jade Fog, 12GB RAM, 256GB Storage)
            ","<U+20B9>33,999 **"
"12","
                BlackZone EVEREST(Black)
            ","<U+20B9>859 **"
"13","
                OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)
            ","<U+20B9>28,999 **"
"14","
                Infinix HOT 12 Play (Champagne Gold, 64 GB)(4 GB RAM)
            ","<U+20B9>8,499 **"
"15","
                BlackZone EVEREST(Blue)
            ","<U+20B9>859 **"
"16","
                POCO C31 (Royal Blue, 64 GB)(4 GB RAM)
            ","<U+20B9>8,499 **"
"17","
                realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) - 6.5"" inch Large Display | 5000mAh Battery
            ","<U+20B9>7,499 **"
"18","
                vivo T1 44W (Ice Dawn, 128 GB)(4 GB RAM)
            ","<U+20B9>14,499 **"
"19","
                Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Helio A22 | 5000 mAh Battery | 8MP AI Dual Cam | Leather Texture Design | Android 12
            ","<U+20B9>6,499 **"
"20","
                OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)
            ","<U+20B9>20,999 **"
